app,args,config,cycles,instructions,ipc,ipc_calc,sim_time_s,kernels,avg_power_W,max_power_W,power_kernels,Accel-Sim-build,GPGPU-Sim-build
backprop-rodinia-2.0-ft,4096___data_result_4096_txt,H100-SASS-Accelwattch_SASS_SIM,10321.0,10473824.0,1014.8071,1014.807092336014,21.0,2,91.1394,189.751,2,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
bfs-rodinia-2.0-ft,__data_graph4096_txt___data_graph4096_result_txt,H100-SASS-Accelwattch_SASS_SIM,103386.0,1210998.0,11.7134,11.713365445998491,36.0,2,71.546,79.626,16,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
heartwall-rodinia-2.0-ft,__data_test_avi_1___data_result_1_txt,H100-SASS-Accelwattch_SASS_SIM,6978.0,7329465.0,1050.3676,1050.3675838349097,7.0,1,94.2791,132.607,1,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
hotspot-rodinia-2.0-ft,30_6_40___data_result_30_6_40_txt,H100-SASS-Accelwattch_SASS_SIM,41554.0,33950092.0,817.0114,817.0114068441064,48.0,1,81.7943,115.064,7,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
lud-rodinia-2.0-ft,_v__b__i___data_64_dat,H100-SASS-Accelwattch_SASS_SIM,118888.0,418884.0,3.5233,3.5233497072875313,27.0,3,70.2062,73.7607,10,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
nn-rodinia-2.0-ft,__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,H100-SASS-Accelwattch_SASS_SIM,21168.0,6714538.0,317.2023,317.20228647014363,47.0,1,82.1904,170.871,4,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
nw-rodinia-2.0-ft,128_10___data_result_128_10_txt,H100-SASS-Accelwattch_SASS_SIM,115329.0,595236.0,5.1612,5.161199698254559,30.0,2,70.1156,70.8703,15,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
pathfinder-rodinia-2.0-ft,1000_20_5___data_result_1000_20_5_txt,H100-SASS-Accelwattch_SASS_SIM,24098.0,1059640.0,43.9721,43.97211386837082,7.0,1,70.8553,72.0602,4,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
srad_v2-rodinia-2.0-ft,__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,H100-SASS-Accelwattch_SASS_SIM,25135.0,10888254.0,433.1909,433.1909289834892,26.0,2,77.7759,110.214,4,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
streamcluster-rodinia-2.0-ft,3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,H100-SASS-Accelwattch_SASS_SIM,1047541.0,20365977.0,19.4417,19.44169917931613,525.0,1,71.1224,73.2454,130,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
