source,app,args,config,kernel,stat,value,raw,stat_regex
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpu_tot_sim_insn,263858709.0,263858709,gpu_tot_sim_insn\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_simulation_time,1067.0,1067,gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpu_tot_sim_cycle,645976.0,645976,gpu_tot_sim_cycle\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[GLOBAL_ACC_R][HIT],4119741.0,4119741,\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[GLOBAL_ACC_R][TOTAL_ACCESS],7507051.0,7507051,\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[GLOBAL_ACC_W][HIT],11766.0,11766,\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[GLOBAL_ACC_W][TOTAL_ACCESS],30619.0,30619,\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[CHIPLET_ACC_R][HIT],1633243.0,1633243,\s+L2_cache_stats_breakdown\[CHIPLET_ACC_R\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[CHIPLET_ACC_R][TOTAL_ACCESS],2209197.0,2209197,\s+L2_cache_stats_breakdown\[CHIPLET_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[CHIPLET_ACC_W][HIT],0.0,0,\s+L2_cache_stats_breakdown\[CHIPLET_ACC_W\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[CHIPLET_ACC_W][TOTAL_ACCESS],,NA,\s+L2_cache_stats_breakdown\[CHIPLET_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,Total_core_cache_stats_breakdown[GLOBAL_ACC_R][TOTAL_ACCESS],35054.0,35054,\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,Total_core_cache_stats_breakdown[GLOBAL_ACC_R][HIT],2322.0,2322,\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,Total_core_cache_stats_breakdown[GLOBAL_ACC_W][HIT],5009.0,5009,\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,Total_core_cache_stats_breakdown[GLOBAL_ACC_W][TOTAL_ACCESS],12395.0,12395,\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,Total_core_cache_stats_breakdown[GLOBAL_ACC_R][MSHR_HIT],3430.0,3430,\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[MSHR_HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_n_tot_w_icount,9264376.0,9264376,gpgpu_n_tot_w_icount\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,total dram reads,1752557.0,1752557,total dram reads\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,total dram writes,23276.0,23276,total dram writes\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,kernel_launch_uid,96.0,96,kernel_launch_uid\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_n_shmem_bkconflict,0.0,0,gpgpu_n_shmem_bkconflict\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_n_l1cache_bkconflict,9208.0,9208,gpgpu_n_l1cache_bkconflict\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpu_ipc,116.8081,116.8081,gpu_ipc\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpu_occupancy,4.913,4.9130,gpu_occupancy\s*=\s*(.*)%
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_BW,5.641,5.6410,L2_BW\s*=\s*(.*)\s*GB\/Sec
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_simulation_rate_inst_per_sec,247290.0,247290,gpgpu_simulation_rate\s+=\s+(.*)\s+\(inst\/sec\)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_simulation_rate_cycle_per_sec,605.0,605,gpgpu_simulation_rate\s+=\s+(.*)\s+\(cycle\/sec\)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_silicon_slowdown,3272727.0,3272727,gpgpu_silicon_slowdown\s*=\s*(.*)x
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpu_tot_ipc,408.4652,408.4652,gpu_tot_ipc\s*=\s*(.*)
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,_ZN4vllm25fused_add_rms_norm_kernelIN3c108BFloat16ELi8ELb1EEENSt9enable_ifIXaagtT0_Li0Esr4vllm12_typeConvertIT_EE6existsEvE4typeEPS4_lS7_PKS4_fiil,gpu_tot_sim_insn,2119265.0,2119265.0,gpu_tot_sim_insn\s*=\s*(.*)
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,nvjet_sm90_tst_64x8_64x16_4x2_h_bz_bias_TNT,gpu_tot_sim_insn,5636376.0,5636376.0,gpu_tot_sim_insn\s*=\s*(.*)
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,_ZN4vllm23rotary_embedding_kernelIN3c108BFloat16ES2_Lb1EEEvPKlPT_S6_PKT0_illliiilb,gpu_tot_sim_insn,973148.0,973148.0,gpu_tot_sim_insn\s*=\s*(.*)
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,_ZN4vllm30reshape_and_cache_flash_kernelI13__nv_bfloat16S1_LNS_18Fp8KVCacheDataTypeE0EEEvPKT_S5_PT0_S7_PKlllllliiiPKfSB_i,gpu_tot_sim_insn,267072.0,267072.0,gpu_tot_sim_insn\s*=\s*(.*)
