----------------------------------------------------------------------------------------------------,
Accel-Sim-build,
APPS,H100-SASS-Accelwattch_SASS_SIM
llm_layer/layer--all_kernels,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33

----------------------------------------------------------------------------------------------------,
GPGPU-Sim-build,
APPS,H100-SASS-Accelwattch_SASS_SIM
llm_layer/layer--all_kernels,gpgpu-sim_git-commit-e10018b6_modified_0.0.

----------------------------------------------------------------------------------------------------,
gpu_tot_sim_insn\s*=\s*(.*),
APPS,H100-SASS-Accelwattch_SASS_SIM
llm_layer/layer--_ZN4vllm25fused_add_rms_norm_kernelIN3c108BFloat16ELi8ELb1EEENSt9enable_ifIXaagtT0_Li0Esr4vllm12_typeConvertIT_EE6existsEvE4typeEPS4_lS7_PKS4_fiil,1246620.0
llm_layer/layer--nvjet_sm90_tst_64x8_64x16_4x2_h_bz_bias_TNT,5641136.0
llm_layer/layer--_ZN4vllm23rotary_embedding_kernelIN3c108BFloat16ES2_Lb1EEEvPKlPT_S6_PKT0_illliiilb,572440.0
llm_layer/layer--_ZN4vllm30reshape_and_cache_flash_kernelI13__nv_bfloat16S1_LNS_18Fp8KVCacheDataTypeE0EEEvPKT_S5_PT0_S7_PKlllllliiiPKfSB_i,157056.0
llm_layer/layer--_ZN7cutlass13device_kernelIN5flash20enable_sm90_or_laterINS1_16FlashAttnFwdSm90INS1_25CollectiveMainloopFwdSm90ILi2EN4cute5tupleIJNS5_1CILi1EEES8_S8_EEENS6_IJNS7_ILi192EEENS7_ILi128EEENS7_ILi64EEEEEELi64ENS_10bfloat16_tEfNS_4arch4Sm90ELb1ELb0ELb0ELb1ELb1ELb0ELb0ELb1ELb1ELb1ELb0ELb0ESE_Li1EEENS1_21CollectiveEpilogueFwdINS6_IJSA_SC_SB_EEES9_SE_SG_Li384ELb1ELb1ELb0ELb0ELi1EEENS1_36VarlenDynamicPersistentTileSchedulerILi192ELi128ELi384ELi128ELb0ELb1ELb1ELb1ELb0ELb1EEEEEEEEEvNT_6ParamsE,6140544.0
llm_layer/layer--_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_11FillFunctorIiEESt5arrayIPcLm1EEEEviT0_T1_,2950.0
llm_layer/layer--nvjet_sm90_tst_64x8_64x16_4x2_h_bz_TNT,4410171.0
llm_layer/layer--nvjet_sm90_tst_128x16_64x11_4x1_v_bz_TNT,12875921.0
llm_layer/layer--_ZN4vllm18act_and_mul_kernelIN3c108BFloat16E14__nv_bfloat162XadL_ZNS_11silu_kernelIS2_EET_RKS5_fEEXadL_ZNS_18packed_silu_kernelIS3_EES5_S7_fEELb1ELb1ELb0ELb0EEEvPS5_PS6_ifff,1592960.0

----------------------------------------------------------------------------------------------------,
gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*,
APPS,H100-SASS-Accelwattch_SASS_SIM
llm_layer/layer--_ZN4vllm25fused_add_rms_norm_kernelIN3c108BFloat16ELi8ELb1EEENSt9enable_ifIXaagtT0_Li0Esr4vllm12_typeConvertIT_EE6existsEvE4typeEPS4_lS7_PKS4_fiil,6.0
llm_layer/layer--nvjet_sm90_tst_64x8_64x16_4x2_h_bz_bias_TNT,7.0
llm_layer/layer--_ZN4vllm23rotary_embedding_kernelIN3c108BFloat16ES2_Lb1EEEvPKlPT_S6_PKT0_illliiilb,3.0
llm_layer/layer--_ZN4vllm30reshape_and_cache_flash_kernelI13__nv_bfloat16S1_LNS_18Fp8KVCacheDataTypeE0EEEvPKT_S5_PT0_S7_PKlllllliiiPKfSB_i,2.0
