source,app,args,config,kernel,stat,value,raw,stat_regex
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpu_tot_sim_insn,32639798.0,32639798,gpu_tot_sim_insn\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_simulation_time,137.0,137,gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpu_tot_sim_cycle,76502.0,76502,gpu_tot_sim_cycle\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[GLOBAL_ACC_R][HIT],14267.0,14267,\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[GLOBAL_ACC_R][TOTAL_ACCESS],676535.0,676535,\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[GLOBAL_ACC_W][HIT],2989.0,2989,\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[GLOBAL_ACC_W][TOTAL_ACCESS],14127.0,14127,\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[CHIPLET_ACC_R][HIT],257.0,257,\s+L2_cache_stats_breakdown\[CHIPLET_ACC_R\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[CHIPLET_ACC_R][TOTAL_ACCESS],331039.0,331039,\s+L2_cache_stats_breakdown\[CHIPLET_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[CHIPLET_ACC_W][HIT],0.0,0,\s+L2_cache_stats_breakdown\[CHIPLET_ACC_W\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_cache_stats_breakdown[CHIPLET_ACC_W][TOTAL_ACCESS],,NA,\s+L2_cache_stats_breakdown\[CHIPLET_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,Total_core_cache_stats_breakdown[GLOBAL_ACC_R][TOTAL_ACCESS],15154.0,15154,\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,Total_core_cache_stats_breakdown[GLOBAL_ACC_R][HIT],1276.0,1276,\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,Total_core_cache_stats_breakdown[GLOBAL_ACC_W][HIT],2993.0,2993,\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,Total_core_cache_stats_breakdown[GLOBAL_ACC_W][TOTAL_ACCESS],6767.0,6767,\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,Total_core_cache_stats_breakdown[GLOBAL_ACC_R][MSHR_HIT],1904.0,1904,\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[MSHR_HIT\]\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_n_tot_w_icount,1149293.0,1149293,gpgpu_n_tot_w_icount\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,total dram reads,661707.0,661707,total dram reads\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,total dram writes,0.0,0,total dram writes\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,kernel_launch_uid,10.0,10,kernel_launch_uid\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_n_shmem_bkconflict,0.0,0,gpgpu_n_shmem_bkconflict\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_n_l1cache_bkconflict,5068.0,5068,gpgpu_n_l1cache_bkconflict\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpu_ipc,275.694,275.6940,gpu_ipc\s*=\s*(.*)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpu_occupancy,27.359,27.3590,gpu_occupancy\s*=\s*(.*)%
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,L2_BW,100.0075,100.0075,L2_BW\s*=\s*(.*)\s*GB\/Sec
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_simulation_rate_inst_per_sec,238246.0,238246,gpgpu_simulation_rate\s+=\s+(.*)\s+\(inst\/sec\)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_simulation_rate_cycle_per_sec,558.0,558,gpgpu_simulation_rate\s+=\s+(.*)\s+\(cycle\/sec\)
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpgpu_silicon_slowdown,3548387.0,3548387,gpgpu_silicon_slowdown\s*=\s*(.*)x
app,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,final_kernel,gpu_tot_ipc,426.6529,426.6529,gpu_tot_ipc\s*=\s*(.*)
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,_ZN4vllm25fused_add_rms_norm_kernelIN3c108BFloat16ELi8ELb1EEENSt9enable_ifIXaagtT0_Li0Esr4vllm12_typeConvertIT_EE6existsEvE4typeEPS4_lS7_PKS4_fiil,gpu_tot_sim_insn,1246620.0,1246620.0,gpu_tot_sim_insn\s*=\s*(.*)
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,nvjet_sm90_tst_64x8_64x16_4x2_h_bz_bias_TNT,gpu_tot_sim_insn,5641136.0,5641136.0,gpu_tot_sim_insn\s*=\s*(.*)
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,_ZN4vllm23rotary_embedding_kernelIN3c108BFloat16ES2_Lb1EEEvPKlPT_S6_PKT0_illliiilb,gpu_tot_sim_insn,572440.0,572440.0,gpu_tot_sim_insn\s*=\s*(.*)
kernel,llm_layer,layer,H100-SASS-Accelwattch_SASS_SIM,_ZN4vllm30reshape_and_cache_flash_kernelI13__nv_bfloat16S1_LNS_18Fp8KVCacheDataTypeE0EEEvPKT_S5_PT0_S7_PKlllllliiiPKfSB_i,gpu_tot_sim_insn,157056.0,157056.0,gpu_tot_sim_insn\s*=\s*(.*)
