source,app,args,config,kernel,stat,value,raw,stat_regex
app,backprop-rodinia-2.0-ft,4096___data_result_4096_txt,QV100-SASS,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,bfs-rodinia-2.0-ft,__data_graph4096_txt___data_graph4096_result_txt,QV100-SASS,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,hotspot-rodinia-2.0-ft,30_6_40___data_result_30_6_40_txt,QV100-SASS,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,heartwall-rodinia-2.0-ft,__data_test_avi_1___data_result_1_txt,QV100-SASS,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,lud-rodinia-2.0-ft,_v__b__i___data_64_dat,QV100-SASS,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,nw-rodinia-2.0-ft,128_10___data_result_128_10_txt,QV100-SASS,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,nn-rodinia-2.0-ft,__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,QV100-SASS,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,pathfinder-rodinia-2.0-ft,1000_20_5___data_result_1000_20_5_txt,QV100-SASS,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,srad_v2-rodinia-2.0-ft,__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,QV100-SASS,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,streamcluster-rodinia-2.0-ft,3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,QV100-SASS,all_kernels,Accel-Sim-build,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,Accel-Sim-build
app,backprop-rodinia-2.0-ft,4096___data_result_4096_txt,QV100-SASS,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,bfs-rodinia-2.0-ft,__data_graph4096_txt___data_graph4096_result_txt,QV100-SASS,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,hotspot-rodinia-2.0-ft,30_6_40___data_result_30_6_40_txt,QV100-SASS,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,heartwall-rodinia-2.0-ft,__data_test_avi_1___data_result_1_txt,QV100-SASS,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,lud-rodinia-2.0-ft,_v__b__i___data_64_dat,QV100-SASS,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,nw-rodinia-2.0-ft,128_10___data_result_128_10_txt,QV100-SASS,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,nn-rodinia-2.0-ft,__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,QV100-SASS,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,pathfinder-rodinia-2.0-ft,1000_20_5___data_result_1000_20_5_txt,QV100-SASS,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,srad_v2-rodinia-2.0-ft,__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,QV100-SASS,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,streamcluster-rodinia-2.0-ft,3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,QV100-SASS,all_kernels,GPGPU-Sim-build,,gpgpu-sim_git-commit-e10018b6_modified_0.0.,GPGPU-Sim-build
app,backprop-rodinia-2.0-ft,4096___data_result_4096_txt,QV100-SASS,final_kernel,gpu_tot_sim_insn,10473824.0,10473824,gpu_tot_sim_insn\s*=\s*(.*)
app,bfs-rodinia-2.0-ft,__data_graph4096_txt___data_graph4096_result_txt,QV100-SASS,final_kernel,gpu_tot_sim_insn,1210998.0,1210998,gpu_tot_sim_insn\s*=\s*(.*)
app,hotspot-rodinia-2.0-ft,30_6_40___data_result_30_6_40_txt,QV100-SASS,final_kernel,gpu_tot_sim_insn,33950092.0,33950092,gpu_tot_sim_insn\s*=\s*(.*)
