app,args,config,cycles,instructions,ipc,ipc_calc,sim_time_s,kernels,avg_power_W,max_power_W,power_kernels,Accel-Sim-build,GPGPU-Sim-build
backprop-rodinia-2.0-ft,4096___data_result_4096_txt,QV100-SASS,14731.0,10473824.0,711.0056,711.005634376485,6.0,2,,,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
bfs-rodinia-2.0-ft,__data_graph4096_txt___data_graph4096_result_txt,QV100-SASS,115556.0,1210998.0,10.4797,10.479750077884315,9.0,2,,,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
heartwall-rodinia-2.0-ft,__data_test_avi_1___data_result_1_txt,QV100-SASS,8389.0,7329465.0,873.6995,873.6994874240077,3.0,1,,,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
hotspot-rodinia-2.0-ft,30_6_40___data_result_30_6_40_txt,QV100-SASS,53853.0,33950092.0,630.4216,630.4215549737248,15.0,1,,,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
lud-rodinia-2.0-ft,_v__b__i___data_64_dat,QV100-SASS,127309.0,418884.0,3.2903,3.290293694868391,7.0,3,,,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
nn-rodinia-2.0-ft,__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt,QV100-SASS,29962.0,6714538.0,224.1018,224.10179560776984,13.0,1,,,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
nw-rodinia-2.0-ft,128_10___data_result_128_10_txt,QV100-SASS,132656.0,595236.0,4.4871,4.487064286575805,9.0,2,,,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
pathfinder-rodinia-2.0-ft,1000_20_5___data_result_1000_20_5_txt,QV100-SASS,28717.0,1059640.0,36.8994,36.899397569383986,2.0,1,,,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
srad_v2-rodinia-2.0-ft,__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt,QV100-SASS,29211.0,10888254.0,372.745,372.7449933244326,7.0,2,,,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
streamcluster-rodinia-2.0-ft,3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt,QV100-SASS,1172585.0,20365977.0,17.3684,17.368444078680863,77.0,1,,,,accelsim-commit-6465301_modified_0.0_26-09-16-21-52-33,gpgpu-sim_git-commit-e10018b6_modified_0.0.
